word,pos
Poronotus_triacanthus,nouns
handful,nouns
Turkish_boxwood,nouns
tithe_barn,nouns
Mont_Blanc,nouns
tv_set,nouns
ethology,nouns
cytogeneticist,nouns
emotionlessness,nouns
hatchling,nouns
ling_ko,nouns
equal_protection_of_the_laws,nouns
lithography,nouns
chinchilla_rat,nouns
squill,nouns
missive,nouns
boyhood,nouns
winter_hazel,nouns
sideline,nouns
resurvey,nouns
aerial,nouns
bookishness,nouns
genus_Ruta,nouns
Jean_Chauvin,nouns
fire_blight,nouns
Coptic_Church,nouns
ecclesiastical_calendar,nouns
Fouquieria_columnaris,nouns
power_outage,nouns
Beckett,nouns
Liatris,nouns
genus_Kennedia,nouns
Tulostomatales,nouns
medusan,nouns
tetraspore,nouns
Connecticut,nouns
vesiculitis,nouns
tamponade,nouns
saquinavir,nouns
Ashe,nouns
genus_Trifolium,nouns
shot_glass,nouns
widow's_peak,nouns
Tupi-Guarani_language,nouns
Araxes,nouns
white_trash,nouns
Stephen_Michael_Reich,nouns
orris,nouns
Pan_troglodytes,nouns
capital_of_Turkey,nouns
vernier_micrometer,nouns
gourd_family,nouns
orlop,nouns
Homo_sapiens_sapiens,nouns
biology_department,nouns
Gloomy_Dean,nouns
good_time,nouns
despondency,nouns
Pterocarpus,nouns
transorbital_lobotomy,nouns
Catoptrophorus_semipalmatus,nouns
Principe,nouns
William_Henry_Mauldin,nouns
yellowwood_tree,nouns
family_Mayacaceae,nouns
21,nouns
war_game,nouns
enough,nouns
eudiometer,nouns
astragal,nouns
lamp_chimney,nouns
special_contract,nouns
Stentor,nouns
genus_Strophanthus,nouns
marten,nouns
Podiceps_cristatus,nouns
German_short-haired_pointer,nouns
stone,nouns
snowfall,nouns
messenger,nouns
Polianthes_tuberosa,nouns
wood_engraving,nouns
positional_representation_system,nouns
drippings,nouns
Russian_vine,nouns
equipoise,nouns
struthiomimus,nouns
hell_to_pay,nouns
acorn_squash,nouns
opencast_mining,nouns
booking,nouns
bovid,nouns
right-handedness,nouns
Janissary,nouns
order_Gentianales,nouns
Hamas,nouns
rest_day,nouns
Mardi_Gras,nouns
genus_Entoloma,nouns
Polynesian_tattler,nouns
family_Gerreidae,nouns
Pyralidae,nouns
hepatic_lobe,nouns
rhomboid_minor_muscle,nouns
musical_mode,nouns
xerox_copy,nouns
family_Volvariaceae,nouns
Balaenicipitidae,nouns
Hail_Mary,nouns
output_contract,nouns
lawn,nouns
groaner,nouns
mirid_bug,nouns
surface_assimilation,nouns
Mastigomycota,nouns
Doing_Business_As,nouns
family_Campanulaceae,nouns
titterer,nouns
neck_sweetbread,nouns
dispersion_medium,nouns
calendar_month,nouns
